valid_time,latitude,longitude,tp,number,expver,location
06-01-2021 12:00,12.75,77.5,0.003970146,0,1,bangalore
06-01-2021 12:00,12.75,77.75,0.002119064,0,1,bangalore
06-01-2021 18:00,13,77.5,0.000360012,0,1,bangalore
06-01-2021 18:00,13,77.75,0.000595093,0,1,bangalore
06-01-2021 18:00,12.75,77.5,0.000444889,0,1,bangalore
06-01-2021 18:00,12.75,77.75,0.000582218,0,1,bangalore
07-01-2021 00:00,13,77.5,0.001381397,0,1,bangalore
07-01-2021 00:00,13,77.75,0.002394676,0,1,bangalore
07-01-2021 00:00,12.75,77.5,0.001378059,0,1,bangalore
07-01-2021 00:00,12.75,77.75,0.002533913,0,1,bangalore
07-01-2021 06:00,13,77.5,0.000263214,0,1,bangalore
07-01-2021 06:00,13,77.75,0.000347137,0,1,bangalore
07-01-2021 06:00,12.75,77.5,0.000739098,0,1,bangalore
07-01-2021 06:00,12.75,77.75,0.000677109,0,1,bangalore
07-01-2021 12:00,13,77.5,4.29E-06,0,1,bangalore
07-01-2021 12:00,13,77.75,5.72E-06,0,1,bangalore
07-01-2021 12:00,12.75,77.5,0,0,1,bangalore
07-01-2021 12:00,12.75,77.75,0,0,1,bangalore
07-01-2021 18:00,13,77.5,1.53E-05,0,1,bangalore
07-01-2021 18:00,13,77.75,4.01E-05,0,1,bangalore
07-01-2021 18:00,12.75,77.5,3.34E-05,0,1,bangalore
07-01-2021 18:00,12.75,77.75,6.87E-05,0,1,bangalore
08-01-2021 00:00,13,77.5,0,0,1,bangalore
08-01-2021 00:00,13,77.75,1.14E-05,0,1,bangalore
08-01-2021 00:00,12.75,77.5,0,0,1,bangalore
08-01-2021 00:00,12.75,77.75,1.81E-05,0,1,bangalore
08-01-2021 06:00,13,77.5,0.000291348,0,1,bangalore
08-01-2021 06:00,13,77.75,0.000310898,0,1,bangalore
08-01-2021 06:00,12.75,77.5,0.000349045,0,1,bangalore
08-01-2021 06:00,12.75,77.75,0.000373364,0,1,bangalore
08-01-2021 12:00,13,77.5,8.01E-05,0,1,bangalore
08-01-2021 12:00,13,77.75,0.000127792,0,1,bangalore
08-01-2021 12:00,12.75,77.5,0.000562668,0,1,bangalore
08-01-2021 12:00,12.75,77.75,0.000675201,0,1,bangalore
08-01-2021 18:00,13,77.5,0,0,1,bangalore
08-01-2021 18:00,13,77.75,1.43E-06,0,1,bangalore
08-01-2021 18:00,12.75,77.5,0,0,1,bangalore
08-01-2021 18:00,12.75,77.75,1.91E-06,0,1,bangalore
09-01-2021 00:00,13,77.5,9.54E-07,0,1,bangalore
09-01-2021 00:00,13,77.75,3.81E-06,0,1,bangalore
09-01-2021 00:00,12.75,77.5,0,0,1,bangalore
09-01-2021 00:00,12.75,77.75,4.77E-06,0,1,bangalore
09-01-2021 06:00,13,77.5,2.91E-05,0,1,bangalore
09-01-2021 06:00,13,77.75,7.87E-05,0,1,bangalore
09-01-2021 06:00,12.75,77.5,7.10E-05,0,1,bangalore
09-01-2021 06:00,12.75,77.75,0.000134945,0,1,bangalore
09-01-2021 12:00,13,77.5,2.86E-06,0,1,bangalore
09-01-2021 12:00,13,77.75,3.34E-06,0,1,bangalore
09-01-2021 12:00,12.75,77.5,1.10E-05,0,1,bangalore
09-01-2021 12:00,12.75,77.75,1.24E-05,0,1,bangalore
09-01-2021 18:00,13,77.5,4.77E-07,0,1,bangalore
09-01-2021 18:00,13,77.75,5.25E-06,0,1,bangalore
09-01-2021 18:00,12.75,77.5,0,0,1,bangalore
09-01-2021 18:00,12.75,77.75,5.72E-06,0,1,bangalore
10-01-2021 00:00,13,77.5,0,0,1,bangalore
10-01-2021 00:00,13,77.75,1.91E-06,0,1,bangalore
10-01-2021 00:00,12.75,77.5,0,0,1,bangalore
10-01-2021 00:00,12.75,77.75,9.54E-07,0,1,bangalore
10-01-2021 06:00,13,77.5,2.38E-06,0,1,bangalore
10-01-2021 06:00,13,77.75,9.06E-06,0,1,bangalore
10-01-2021 06:00,12.75,77.5,6.20E-06,0,1,bangalore
10-01-2021 06:00,12.75,77.75,1.34E-05,0,1,bangalore
10-01-2021 12:00,13,77.5,4.77E-07,0,1,bangalore
10-01-2021 12:00,13,77.75,4.77E-07,0,1,bangalore
10-01-2021 12:00,12.75,77.5,0,0,1,bangalore
10-01-2021 12:00,12.75,77.75,0,0,1,bangalore
10-01-2021 18:00,13,77.5,2.86E-06,0,1,bangalore
10-01-2021 18:00,13,77.75,8.11E-06,0,1,bangalore
10-01-2021 18:00,12.75,77.5,1.91E-06,0,1,bangalore
10-01-2021 18:00,12.75,77.75,5.25E-06,0,1,bangalore
11-01-2021 00:00,13,77.5,2.48E-05,0,1,bangalore
11-01-2021 00:00,13,77.75,3.43E-05,0,1,bangalore
11-01-2021 00:00,12.75,77.5,6.87E-05,0,1,bangalore
11-01-2021 00:00,12.75,77.75,0.000120163,0,1,bangalore
11-01-2021 06:00,13,77.5,0.000183582,0,1,bangalore
11-01-2021 06:00,13,77.75,6.06E-05,0,1,bangalore
11-01-2021 06:00,12.75,77.5,0.000416279,0,1,bangalore
11-01-2021 06:00,12.75,77.75,0.000183582,0,1,bangalore
11-01-2021 12:00,13,77.5,4.58E-05,0,1,bangalore
11-01-2021 12:00,13,77.75,0,0,1,bangalore
11-01-2021 12:00,12.75,77.5,0.000135422,0,1,bangalore
11-01-2021 12:00,12.75,77.75,5.10E-05,0,1,bangalore
11-01-2021 18:00,13,77.5,0,0,1,bangalore
11-01-2021 18:00,13,77.75,0,0,1,bangalore
11-01-2021 18:00,12.75,77.5,0,0,1,bangalore
11-01-2021 18:00,12.75,77.75,0,0,1,bangalore
12-01-2021 00:00,13,77.5,9.54E-07,0,1,bangalore
12-01-2021 00:00,13,77.75,9.54E-07,0,1,bangalore
12-01-2021 00:00,12.75,77.5,2.38E-06,0,1,bangalore
12-01-2021 00:00,12.75,77.75,2.38E-06,0,1,bangalore
12-01-2021 06:00,13,77.5,0,0,1,bangalore
12-01-2021 06:00,13,77.75,0,0,1,bangalore
12-01-2021 06:00,12.75,77.5,0,0,1,bangalore
12-01-2021 06:00,12.75,77.75,0,0,1,bangalore
12-01-2021 12:00,13,77.5,4.10E-05,0,1,bangalore
12-01-2021 12:00,13,77.75,6.48E-05,0,1,bangalore
12-01-2021 12:00,12.75,77.5,9.11E-05,0,1,bangalore
12-01-2021 12:00,12.75,77.75,0.000135422,0,1,bangalore
12-01-2021 18:00,13,77.5,0,0,1,bangalore
12-01-2021 18:00,13,77.75,0,0,1,bangalore
12-01-2021 18:00,12.75,77.5,0,0,1,bangalore
12-01-2021 18:00,12.75,77.75,0,0,1,bangalore
13-01-2021 00:00,13,77.5,0,0,1,bangalore
